Точная площадь: 0.944517
N,ApproximateArea,RelativeError
100,1.26,0.334015
600,0.81,0.142419
1100,0.916364,0.0298073
1600,0.984375,0.0421991
2100,0.998571,0.0572295
2600,1.00385,0.0628141
3100,0.931935,0.0133208
3600,0.9825,0.040214
4100,0.974634,0.0318861
4600,0.89413,0.0533466
5100,1.03412,0.0948638
5600,0.945,0.000511176
6100,0.995902,0.0544029
6600,0.894545,0.0529072
7100,0.924085,0.0216329
7600,0.954474,0.0105414
8100,0.911111,0.0353684
8600,0.923023,0.0227565
9100,0.886154,0.0617917
9600,0.953438,0.00944431
10100,0.975743,0.0330596
10600,0.967075,0.0238834
11100,0.940541,0.00421024
11600,0.924052,0.0216676
12100,0.967686,0.0245297
12600,0.982143,0.0398359
13100,0.926107,0.0194918
13600,0.925147,0.020508
14100,0.924255,0.0214521
14600,0.965959,0.0227012
15100,0.925033,0.0206286
15600,0.938654,0.00620776
16100,0.923478,0.0222748
16600,0.947711,0.00338126
17100,0.968947,0.0258653
17600,0.961875,0.0183774
18100,0.95768,0.0139356
18600,0.942581,0.0020503
19100,0.956073,0.0122349
19600,0.948214,0.00391427
20100,0.93,0.01537
20600,0.961165,0.0176258
21100,0.9209,0.025004
21600,0.960417,0.0168334
22100,0.952534,0.00848767
22600,0.912743,0.0336403
23100,0.942078,0.00258255
23600,0.954915,0.0110089
24100,0.941079,0.00364032
24600,0.941341,0.00336227
25100,0.963108,0.0196824
25600,0.970664,0.0276828
26100,0.953448,0.00945572
26600,0.963609,0.0202133
27100,0.932214,0.0130259
27600,0.939457,0.00535794
28100,0.935872,0.00915314
28600,0.943741,0.000821507
29100,0.925052,0.0206091
29600,0.925541,0.0200914
30100,0.943056,0.00154651
30600,0.952941,0.00891883
31100,0.940804,0.00393146
31600,0.928196,0.0172797
32100,0.958037,0.0143144
32600,0.95411,0.0101568
33100,0.95139,0.00727625
33600,0.951161,0.00703378
34100,0.939853,0.00493778
34600,0.964509,0.0211658
35100,0.954359,0.0104199
35600,0.951573,0.00747032
36100,0.983019,0.0407639
36600,0.944754,0.000250829
37100,0.945849,0.00141011
37600,0.954574,0.0106481
38100,0.942992,0.00161464
38600,0.935674,0.0093631
39100,0.948798,0.00453223
39600,0.9325,0.0127231
