Точная площадь: 0.944517
Узкая область: [0.881966, 2] x [0.881966, 2]
N,ApproximateArea,RelativeError
100,0.85,0.100069
600,0.9875,0.0455077
1100,0.936364,0.00863251
1600,0.938281,0.00660225
2100,0.944048,0.00049715
2600,0.952404,0.00834994
3100,0.94879,0.00452415
3600,0.938542,0.00632653
4100,0.950305,0.00612767
4600,0.942663,0.00196306
5100,0.954167,0.0102163
5600,0.941741,0.00293919
6100,0.934631,0.0104668
6600,0.937689,0.00722887
7100,0.948239,0.0039409
7600,0.948355,0.00406353
8100,0.935031,0.0100436
8600,0.937791,0.00712162
9100,0.940247,0.00452076
9600,0.941406,0.00329368
10100,0.939975,0.00480874
10600,0.939505,0.00530691
11100,0.937725,0.00719093
11600,0.947091,0.00272449
12100,0.939153,0.0056794
12600,0.951786,0.0076955
13100,0.948664,0.00439054
13600,0.946507,0.00210707
14100,0.949734,0.00552331
14600,0.94101,0.00371291
15100,0.942053,0.00260896
15600,0.941026,0.00369665
16100,0.947516,0.00317447
16600,0.947666,0.00333342
17100,0.943933,0.000618768
17600,0.94581,0.0013684
18100,0.950622,0.00646294
18600,0.942339,0.00230644
19100,0.947448,0.0031026
19600,0.945153,0.000673228
20100,0.950249,0.00606825
20600,0.945631,0.00117931
21100,0.950296,0.00611849
21600,0.94537,0.000903302
22100,0.948529,0.00424791
22600,0.940708,0.00403298
23100,0.945833,0.00139346
23600,0.94322,0.00137303
24100,0.946629,0.00223548
24600,0.946748,0.00236182
25100,0.946016,0.00158679
25600,0.942773,0.00184618
26100,0.94842,0.00413159
26600,0.947039,0.00267045
27100,0.942897,0.0017157
27600,0.941078,0.00364132
28100,0.941815,0.00286097
28600,0.946372,0.00196417
29100,0.942784,0.00183552
29600,0.943201,0.00139349
30100,0.940864,0.00386801
30600,0.943709,0.000855501
31100,0.939188,0.00564212
31600,0.943117,0.00148234
32100,0.943263,0.00132761
32600,0.943443,0.00113702
33100,0.94173,0.00295133
33600,0.945647,0.00119652
34100,0.945381,0.000914802
34600,0.943786,0.000774003
35100,0.946296,0.00188362
35600,0.93908,0.00575652
36100,0.949377,0.005145
36600,0.941564,0.00312644
37100,0.943497,0.00107979
37600,0.94488,0.000384464
38100,0.944751,0.000247185
38600,0.945142,0.000662033
39100,0.946324,0.00191245
39600,0.943876,0.000678572
40100,0.943485,0.00109278
40600,0.939717,0.00508242
41100,0.942883,0.00172996
41600,0.947386,0.00303714
42100,0.941538,0.00315418
42600,0.940669,0.00407422
43100,0.942546,0.00208655
43600,0.944581,6.80095e-05
44100,0.940618,0.00412832
44600,0.946749,0.00236279
45100,0.948531,0.00424964
45600,0.946409,0.00200293
46100,0.944062,0.000482113
