type,size,algorithm,threshold,time
random,500,merge,0,310
random,500,hybrid,5,167
random,500,hybrid,10,132
random,500,hybrid,20,101
random,500,hybrid,30,106
random,500,hybrid,50,102
random,1000,merge,0,649
random,1000,hybrid,5,380
random,1000,hybrid,10,278
random,1000,hybrid,20,237
random,1000,hybrid,30,235
random,1000,hybrid,50,218
random,1500,merge,0,916
random,1500,hybrid,5,530
random,1500,hybrid,10,447
random,1500,hybrid,20,379
random,1500,hybrid,30,337
random,1500,hybrid,50,322
random,2000,merge,0,1057
random,2000,hybrid,5,638
random,2000,hybrid,10,516
random,2000,hybrid,20,440
random,2000,hybrid,30,438
random,2000,hybrid,50,406
random,2500,merge,0,1235
random,2500,hybrid,5,696
random,2500,hybrid,10,580
random,2500,hybrid,20,503
random,2500,hybrid,30,505
random,2500,hybrid,50,474
random,3000,merge,0,1379
random,3000,hybrid,5,873
random,3000,hybrid,10,735
random,3000,hybrid,20,627
random,3000,hybrid,30,565
random,3000,hybrid,50,535
random,3500,merge,0,1596
random,3500,hybrid,5,980
random,3500,hybrid,10,787
random,3500,hybrid,20,685
random,3500,hybrid,30,653
random,3500,hybrid,50,645
random,4000,merge,0,1598
random,4000,hybrid,5,982
random,4000,hybrid,10,825
random,4000,hybrid,20,727
random,4000,hybrid,30,724
random,4000,hybrid,50,683
random,4500,merge,0,1779
random,4500,hybrid,5,1078
random,4500,hybrid,10,933
random,4500,hybrid,20,821
random,4500,hybrid,30,841
random,4500,hybrid,50,783
random,5000,merge,0,1983
random,5000,hybrid,5,1176
random,5000,hybrid,10,1013
random,5000,hybrid,20,913
random,5000,hybrid,30,908
random,5000,hybrid,50,863
random,5500,merge,0,2207
random,5500,hybrid,5,1380
random,5500,hybrid,10,1270
random,5500,hybrid,20,1111
random,5500,hybrid,30,1009
random,5500,hybrid,50,961
random,6000,merge,0,2425
random,6000,hybrid,5,1594
random,6000,hybrid,10,1385
random,6000,hybrid,20,1223
random,6000,hybrid,30,1100
random,6000,hybrid,50,1090
random,6500,merge,0,2655
random,6500,hybrid,5,1801
random,6500,hybrid,10,1513
random,6500,hybrid,20,1309
random,6500,hybrid,30,1235
random,6500,hybrid,50,1220
random,7000,merge,0,3050
random,7000,hybrid,5,1953
random,7000,hybrid,10,1601
random,7000,hybrid,20,1406
random,7000,hybrid,30,1308
random,7000,hybrid,50,1300
random,7500,merge,0,3043
random,7500,hybrid,5,1999
random,7500,hybrid,10,1698
random,7500,hybrid,20,1505
random,7500,hybrid,30,1462
random,7500,hybrid,50,1402
random,8000,merge,0,3303
random,8000,hybrid,5,2154
random,8000,hybrid,10,1835
random,8000,hybrid,20,1639
random,8000,hybrid,30,1662
random,8000,hybrid,50,1527
random,8500,merge,0,3491
random,8500,hybrid,5,2224
random,8500,hybrid,10,1908
random,8500,hybrid,20,1726
random,8500,hybrid,30,1726
random,8500,hybrid,50,1625
random,9000,merge,0,3732
random,9000,hybrid,5,2343
random,9000,hybrid,10,2023
random,9000,hybrid,20,1810
random,9000,hybrid,30,1811
random,9000,hybrid,50,1715
random,9500,merge,0,3933
random,9500,hybrid,5,2438
random,9500,hybrid,10,2123
