size,threshold,time
1000,5,206
1000,10,171
1000,15,161
1000,20,147
1000,25,146
1000,30,146
1000,35,135
1000,40,134
1000,45,137
1000,50,142
5000,5,1213
5000,10,1043
5000,15,1068
5000,20,925
5000,25,961
5000,30,924
5000,35,946
5000,40,904
5000,45,911
5000,50,885
10000,5,2601
10000,10,2293
10000,15,2272
10000,20,2072
10000,25,2073
10000,30,2072
10000,35,2062
10000,40,1986
10000,45,1995
10000,50,1983
20000,5,5597
20000,10,4985
20000,15,4905
20000,20,4547
20000,25,4478
20000,30,4563
20000,35,4677
20000,40,4487
20000,45,4487
20000,50,4431
