type,size,algorithm,threshold,time
random,500,hybrid,5,49
random,500,hybrid,10,37
random,500,hybrid,20,35
random,500,hybrid,30,35
random,500,hybrid,50,35
random,1000,hybrid,5,99
random,1000,hybrid,10,82
random,1000,hybrid,20,73
random,1000,hybrid,30,73
random,1000,hybrid,50,73
random,1500,hybrid,5,164
random,1500,hybrid,10,131
random,1500,hybrid,20,114
random,1500,hybrid,30,116
random,1500,hybrid,50,114
random,2000,hybrid,5,233
random,2000,hybrid,10,175
random,2000,hybrid,20,157
random,2000,hybrid,30,156
random,2000,hybrid,50,156
random,2500,hybrid,5,315
random,2500,hybrid,10,236
random,2500,hybrid,20,199
random,2500,hybrid,30,201
random,2500,hybrid,50,202
random,3000,hybrid,5,353
random,3000,hybrid,10,285
random,3000,hybrid,20,245
random,3000,hybrid,30,248
random,3000,hybrid,50,255
random,3500,hybrid,5,427
random,3500,hybrid,10,365
random,3500,hybrid,20,286
random,3500,hybrid,30,294
random,3500,hybrid,50,291
random,4000,hybrid,5,498
random,4000,hybrid,10,411
random,4000,hybrid,20,335
random,4000,hybrid,30,339
random,4000,hybrid,50,337
random,4500,hybrid,5,578
random,4500,hybrid,10,467
random,4500,hybrid,20,385
random,4500,hybrid,30,386
random,4500,hybrid,50,378
random,5000,hybrid,5,648
random,5000,hybrid,10,516
random,5000,hybrid,20,429
random,5000,hybrid,30,428
random,5000,hybrid,50,435
random,5500,hybrid,5,753
random,5500,hybrid,10,573
random,5500,hybrid,20,470
random,5500,hybrid,30,485
random,5500,hybrid,50,478
random,6000,hybrid,5,800
random,6000,hybrid,10,642
random,6000,hybrid,20,530
random,6000,hybrid,30,531
random,6000,hybrid,50,530
random,6500,hybrid,5,857
random,6500,hybrid,10,705
random,6500,hybrid,20,582
random,6500,hybrid,30,569
random,6500,hybrid,50,569
random,7000,hybrid,5,962
random,7000,hybrid,10,799
random,7000,hybrid,20,626
random,7000,hybrid,30,616
random,7000,hybrid,50,626
random,7500,hybrid,5,1018
random,7500,hybrid,10,825
random,7500,hybrid,20,673
random,7500,hybrid,30,661
random,7500,hybrid,50,679
random,8000,hybrid,5,1096
random,8000,hybrid,10,915
random,8000,hybrid,20,716
random,8000,hybrid,30,722
random,8000,hybrid,50,730
random,8500,hybrid,5,1166
random,8500,hybrid,10,1019
random,8500,hybrid,20,764
random,8500,hybrid,30,776
random,8500,hybrid,50,774
random,9000,hybrid,5,1283
random,9000,hybrid,10,1039
random,9000,hybrid,20,816
random,9000,hybrid,30,810
random,9000,hybrid,50,825
random,9500,hybrid,5,1314
random,9500,hybrid,10,1137
random,9500,hybrid,20,888
random,9500,hybrid,30,889
random,9500,hybrid,50,867
random,10000,hybrid,5,1403
random,10000,hybrid,10,1169
random,10000,hybrid,20,939
random,10000,hybrid,30,924
random,10000,hybrid,50,924
reverse,500,hybrid,5,37
reverse,500,hybrid,10,30
reverse,500,hybrid,20,26
reverse,500,hybrid,30,27
reverse,500,hybrid,50,27
reverse,1000,hybrid,5,83
reverse,1000,hybrid,10,59
reverse,1000,hybrid,20,51
reverse,1000,hybrid,30,52
reverse,1000,hybrid,50,53
reverse,1500,hybrid,5,147
reverse,1500,hybrid,10,95
reverse,1500,hybrid,20,80
reverse,1500,hybrid,30,84
reverse,1500,hybrid,50,80
reverse,2000,hybrid,5,183
reverse,2000,hybrid,10,137
reverse,2000,hybrid,20,107
