type,size,algorithm,threshold,time
random,500,quick,0,160
random,1000,quick,0,348
random,1500,quick,0,494
random,2000,quick,0,608
random,2500,quick,0,744
random,3000,quick,0,981
random,3500,quick,0,1126
random,4000,quick,0,1188
random,4500,quick,0,1211
random,5000,quick,0,1219
random,5500,quick,0,1244
random,6000,quick,0,1240
random,6500,quick,0,1289
random,7000,quick,0,1356
random,7500,quick,0,1344
random,8000,quick,0,1381
random,8500,quick,0,1433
random,9000,quick,0,1448
random,9500,quick,0,1456
random,10000,quick,0,1511
reverse,500,quick,0,49
reverse,1000,quick,0,99
reverse,1500,quick,0,152
reverse,2000,quick,0,207
reverse,2500,quick,0,255
reverse,3000,quick,0,307
reverse,3500,quick,0,357
reverse,4000,quick,0,408
reverse,4500,quick,0,456
reverse,5000,quick,0,514
reverse,5500,quick,0,559
reverse,6000,quick,0,610
reverse,6500,quick,0,673
reverse,7000,quick,0,714
reverse,7500,quick,0,751
reverse,8000,quick,0,788
reverse,8500,quick,0,848
reverse,9000,quick,0,886
reverse,9500,quick,0,916
reverse,10000,quick,0,992
almost_sorted,500,quick,0,41
almost_sorted,1000,quick,0,87
almost_sorted,1500,quick,0,124
almost_sorted,2000,quick,0,169
almost_sorted,2500,quick,0,214
almost_sorted,3000,quick,0,258
almost_sorted,3500,quick,0,311
almost_sorted,4000,quick,0,364
almost_sorted,4500,quick,0,404
almost_sorted,5000,quick,0,443
almost_sorted,5500,quick,0,486
almost_sorted,6000,quick,0,567
almost_sorted,6500,quick,0,588
almost_sorted,7000,quick,0,642
almost_sorted,7500,quick,0,697
almost_sorted,8000,quick,0,739
almost_sorted,8500,quick,0,777
almost_sorted,9000,quick,0,839
almost_sorted,9500,quick,0,901
almost_sorted,10000,quick,0,943
