Algorithm,Ср. время (мс),Стд. откл.,Мин. время,Макс. время,Ср. сравнения,Стд. сравнения,Стабильность (%)
MSD_Radix_Nearly,1.7,0.95,0.14,3.2,0.0,0.0,100.0
MSD_Radix_Random,1.54,0.94,0.22,3.34,0.0,0.0,100.0
MSD_Radix_Reverse,1.69,0.99,0.14,3.71,0.0,0.0,100.0
MergeSort_Nearly,2.63,1.61,0.14,5.35,1043507.6,652627.94,100.0
MergeSort_Random,2.91,1.74,0.18,5.97,1133259.93,698056.6,100.0
MergeSort_Reverse,2.32,1.41,0.13,4.8,573891.07,359014.53,100.0
QuickSort_Nearly,1.25,0.77,0.07,2.85,1366335.93,854266.72,100.0
QuickSort_Random,1.42,0.86,0.09,2.88,1443325.47,891982.34,100.0
QuickSort_Reverse,0.26,0.14,0.03,0.5,344026.97,214033.56,100.0
StrMerge_Nearly,2.99,1.86,0.16,6.2,36887.93,23356.86,100.0
StrMerge_Random,3.43,2.13,0.2,7.17,36370.67,23915.0,100.0
StrMerge_Reverse,2.57,1.59,0.16,5.83,22459.87,13718.46,100.0
TernarQS_Nearly,1.18,1.05,0.04,3.82,33883.13,31123.13,100.0
TernarQS_Random,0.63,0.4,0.04,1.37,15914.7,10025.39,100.0
TernarQS_Reverse,1.96,1.55,0.05,5.03,56860.33,45052.08,100.0
