Algorithm,Size,Time_ms,Comparisons,Sorted
MSD_Radix_Nearly,100,0.1274,0,yes
MSD_Radix_Nearly,200,0.2326,0,yes
MSD_Radix_Nearly,300,0.3314,0,yes
MSD_Radix_Nearly,400,0.4154,0,yes
MSD_Radix_Nearly,500,0.5558,0,yes
MSD_Radix_Nearly,600,0.61,0,yes
MSD_Radix_Nearly,700,0.7464,0,yes
MSD_Radix_Nearly,800,0.8764,0,yes
MSD_Radix_Nearly,900,0.9908,0,yes
MSD_Radix_Nearly,1000,1.0686,0,yes
MSD_Radix_Nearly,1100,1.1698,0,yes
MSD_Radix_Nearly,1200,1.3196,0,yes
MSD_Radix_Nearly,1300,1.3854,0,yes
MSD_Radix_Nearly,1400,1.5466,0,yes
MSD_Radix_Nearly,1500,1.6378,0,yes
MSD_Radix_Nearly,1600,1.7312,0,yes
MSD_Radix_Nearly,1700,1.8286,0,yes
MSD_Radix_Nearly,1800,1.9186,0,yes
MSD_Radix_Nearly,1900,2.0026,0,yes
MSD_Radix_Nearly,2000,2.1616,0,yes
MSD_Radix_Nearly,2100,2.2322,0,yes
MSD_Radix_Nearly,2200,2.3464,0,yes
MSD_Radix_Nearly,2300,2.4508,0,yes
MSD_Radix_Nearly,2400,2.542,0,yes
MSD_Radix_Nearly,2500,2.636,0,yes
MSD_Radix_Nearly,2600,2.8192,0,yes
MSD_Radix_Nearly,2700,2.9016,0,yes
MSD_Radix_Nearly,2800,2.9872,0,yes
MSD_Radix_Nearly,2900,3.1042,0,yes
MSD_Radix_Nearly,3000,3.217,0,yes
MSD_Radix_QS_Nearly,100,0.0376,283,yes
MSD_Radix_QS_Nearly,200,0.071,612,yes
MSD_Radix_QS_Nearly,300,0.0962,670,yes
MSD_Radix_QS_Nearly,400,0.1234,849,yes
MSD_Radix_QS_Nearly,500,0.1652,1084,yes
MSD_Radix_QS_Nearly,600,0.1846,1303,yes
MSD_Radix_QS_Nearly,700,0.2136,1496,yes
MSD_Radix_QS_Nearly,800,0.2632,1680,yes
MSD_Radix_QS_Nearly,900,0.2732,1877,yes
MSD_Radix_QS_Nearly,1000,0.3058,2106,yes
MSD_Radix_QS_Nearly,1100,0.3502,2271,yes
MSD_Radix_QS_Nearly,1200,0.3956,2530,yes
MSD_Radix_QS_Nearly,1300,0.4202,2735,yes
MSD_Radix_QS_Nearly,1400,0.458,2895,yes
MSD_Radix_QS_Nearly,1500,0.4966,3098,yes
MSD_Radix_QS_Nearly,1600,0.5198,3317,yes
MSD_Radix_QS_Nearly,1700,0.5502,3477,yes
MSD_Radix_QS_Nearly,1800,0.5828,3664,yes
MSD_Radix_QS_Nearly,1900,0.603,3847,yes
MSD_Radix_QS_Nearly,2000,0.6244,4041,yes
MSD_Radix_QS_Nearly,2100,0.6926,4219,yes
MSD_Radix_QS_Nearly,2200,0.7038,4414,yes
MSD_Radix_QS_Nearly,2300,0.7288,4584,yes
MSD_Radix_QS_Nearly,2400,0.7762,4771,yes
MSD_Radix_QS_Nearly,2500,0.8018,4933,yes
MSD_Radix_QS_Nearly,2600,0.87,5129,yes
MSD_Radix_QS_Nearly,2700,0.8522,5343,yes
MSD_Radix_QS_Nearly,2800,0.8992,5503,yes
MSD_Radix_QS_Nearly,2900,0.9404,5695,yes
MSD_Radix_QS_Nearly,3000,0.9576,5854,yes
MSD_Radix_QS_Random,100,0.0326,171,yes
MSD_Radix_QS_Random,200,0.0642,428,yes
MSD_Radix_QS_Random,300,0.0652,134,yes
MSD_Radix_QS_Random,400,0.0724,217,yes
MSD_Radix_QS_Random,500,0.1158,309,yes
MSD_Radix_QS_Random,600,0.1352,419,yes
MSD_Radix_QS_Random,700,0.1568,535,yes
MSD_Radix_QS_Random,800,0.1786,671,yes
MSD_Radix_QS_Random,900,0.2112,802,yes
MSD_Radix_QS_Random,1000,0.2244,927,yes
MSD_Radix_QS_Random,1100,0.2716,1067,yes
MSD_Radix_QS_Random,1200,0.3018,1224,yes
MSD_Radix_QS_Random,1300,0.3408,1355,yes
MSD_Radix_QS_Random,1400,0.355,1515,yes
MSD_Radix_QS_Random,1500,0.3636,1661,yes
MSD_Radix_QS_Random,1600,0.4232,1847,yes
MSD_Radix_QS_Random,1700,0.4514,1969,yes
MSD_Radix_QS_Random,1800,0.491,2168,yes
MSD_Radix_QS_Random,1900,0.5302,2409,yes
MSD_Radix_QS_Random,2000,0.5622,2570,yes
MSD_Radix_QS_Random,2100,0.5864,2689,yes
MSD_Radix_QS_Random,2200,0.6246,2834,yes
MSD_Radix_QS_Random,2300,0.6616,3067,yes
MSD_Radix_QS_Random,2400,0.6932,3246,yes
MSD_Radix_QS_Random,2500,0.7278,3446,yes
MSD_Radix_QS_Random,2600,0.7702,3657,yes
MSD_Radix_QS_Random,2700,0.8036,3818,yes
MSD_Radix_QS_Random,2800,0.829,4008,yes
MSD_Radix_QS_Random,2900,0.8698,4238,yes
MSD_Radix_QS_Random,3000,0.9558,4428,yes
MSD_Radix_QS_Reverse,100,0.0478,262,yes
MSD_Radix_QS_Reverse,200,0.1328,778,yes
MSD_Radix_QS_Reverse,300,0.179,926,yes
MSD_Radix_QS_Reverse,400,0.2454,1304,yes
MSD_Radix_QS_Reverse,500,0.3204,1617,yes
MSD_Radix_QS_Reverse,600,0.3852,1954,yes
MSD_Radix_QS_Reverse,700,0.4538,2278,yes
MSD_Radix_QS_Reverse,800,0.4608,2536,yes
MSD_Radix_QS_Reverse,900,0.5354,2872,yes
MSD_Radix_QS_Reverse,1000,0.6356,3159,yes
MSD_Radix_QS_Reverse,1100,0.69,3487,yes
MSD_Radix_QS_Reverse,1200,0.7404,3785,yes
MSD_Radix_QS_Reverse,1300,0.78,4092,yes
MSD_Radix_QS_Reverse,1400,0.8466,4407,yes
MSD_Radix_QS_Reverse,1500,0.8836,4719,yes
MSD_Radix_QS_Reverse,1600,0.9948,5040,yes
MSD_Radix_QS_Reverse,1700,1.0502,5332,yes
MSD_Radix_QS_Reverse,1800,1.083,5700,yes
MSD_Radix_QS_Reverse,1900,1.1162,6015,yes
MSD_Radix_QS_Reverse,2000,1.2582,6343,yes
MSD_Radix_QS_Reverse,2100,1.2762,6678,yes
MSD_Radix_QS_Reverse,2200,1.3772,7056,yes
MSD_Radix_QS_Reverse,2300,1.4554,7394,yes
MSD_Radix_QS_Reverse,2400,1.463,7721,yes
MSD_Radix_QS_Reverse,2500,1.5744,8097,yes
MSD_Radix_QS_Reverse,2600,1.5966,8406,yes
MSD_Radix_QS_Reverse,2700,1.687,8737,yes
MSD_Radix_QS_Reverse,2800,1.7464,9023,yes
